"StudentID","Name","Course1","Grade1","Unit1","Course2","Grade2","Unit2","Course3","Grade3","Unit3","cgpa"
"STU001","Ibrahim Ali","MTH101","98","3","PHY101","88","4","CHM101","79","3",5
"STU002","Chidi Doe","MTH101","40","4","PHY101","41","2","CHM101","47","2",1.25
"STU003","Ibrahim Ali","MTH101","83","3","PHY101","30","2","CHM101","43","3",2.25
"STU004","Linda Okoro","MTH101","35","4","PHY101","58","4","CHM101","88","3",2.45
"STU005","Ibrahim Okoro","MTH101","77","4","PHY101","59","2","CHM101","58","3",3.89
"STU006","Jane Smith","MTH101","41","2","PHY101","97","4","CHM101","96","2",4
"STU007","Jane Smith","MTH101","55","4","PHY101","97","2","CHM101","66","4",3.8
"STU008","Grace Eze","MTH101","95","2","PHY101","51","4","CHM101","53","4",3.4
"STU009","Peter Bello","MTH101","95","2","PHY101","46","4","CHM101","79","4",3.8
"STU010","Faith Eze","MTH101","63","4","PHY101","67","4","CHM101","32","4",2.67
"STU011","Linda Bello","MTH101","63","2","PHY101","49","3","CHM101","83","2",3.43
"STU012","Ibrahim Obi","MTH101","45","2","PHY101","75","3","CHM101","35","4",2.11
"STU013","Faith Eze","MTH101","92","4","PHY101","97","3","CHM101","53","3",4.4
"STU014","Ibrahim Adams","MTH101","69","3","PHY101","40","3","CHM101","63","3",3
"STU015","John Ali","MTH101","84","2","PHY101","60","2","CHM101","95","3",4.71
"STU016","Chidi Ojo","MTH101","71","4","PHY101","96","3","CHM101","61","4",4.64
"STU017","Amina Ali","MTH101","32","3","PHY101","89","2","CHM101","73","2",2.86
"STU018","Chidi Ojo","MTH101","98","2","PHY101","76","2","CHM101","56","4",4
"STU019","Peter Balogun","MTH101","96","2","PHY101","73","2","CHM101","30","2",3.33
"STU020","Grace Doe","MTH101","76","3","PHY101","87","3","CHM101","66","4",4.6
"STU021","Linda Ojo","MTH101","68","2","PHY101","37","3","CHM101","67","4",2.67
"STU022","Ibrahim Okoro","MTH101","42","4","PHY101","81","4","CHM101","86","2",3.4
"STU023","Daniel Okoro","MTH101","67","2","PHY101","76","3","CHM101","64","4",4.33
"STU024","Ibrahim Obi","MTH101","83","4","PHY101","41","2","CHM101","38","4",2.2
"STU025","Grace Bello","MTH101","64","3","PHY101","64","2","CHM101","95","4",4.44
"STU026","Jane Balogun","MTH101","34","3","PHY101","84","2","CHM101","46","3",2
"STU027","Chidi Bello","MTH101","78","4","PHY101","91","4","CHM101","90","2",5
"STU028","Linda Balogun","MTH101","64","2","PHY101","66","3","CHM101","38","2",2.86
"STU029","John Obi","MTH101","75","3","PHY101","39","4","CHM101","55","2",2.33
"STU030","Chidi Smith","MTH101","47","2","PHY101","70","2","CHM101","81","2",4
"STU031","Daniel Bello","MTH101","49","2","PHY101","65","2","CHM101","62","3",3.43
"STU032","Chidi Eze","MTH101","33","4","PHY101","78","3","CHM101","84","3",3
"STU033","Amina Ali","MTH101","50","4","PHY101","39","3","CHM101","77","4",2.91
"STU034","Peter Ali","MTH101","39","2","PHY101","96","3","CHM101","69","3",3.38
"STU035","Linda Ojo","MTH101","81","2","PHY101","46","4","CHM101","90","2",3.5
"STU036","Faith Ali","MTH101","60","2","PHY101","44","4","CHM101","98","2",2.75
"STU037","Jane Okoro","MTH101","64","3","PHY101","49","3","CHM101","40","4",2.2
"STU038","Chidi Balogun","MTH101","66","4","PHY101","51","2","CHM101","45","2",3.25
"STU039","Ibrahim Adams","MTH101","45","2","PHY101","90","4","CHM101","79","4",4.4
"STU040","Amina Ali","MTH101","56","3","PHY101","34","2","CHM101","88","4",3.22
